date,symbol,open,high,low,close,adjusted_close,volume,source,updated_at,fetched_at,adjusted_status,data_quality_status,data_quality_flag
1995-01-03,SPY,45.703125,45.84375,45.6875,45.78125,26.511948,324300,existing_local_ohlcv,,,,existing,
1995-01-04,SPY,45.984375,46.0,45.75,46.0,26.638618,351800,existing_local_ohlcv,,,,existing,
1995-01-05,SPY,46.03125,46.109375,45.953125,46.0,26.638618,89800,existing_local_ohlcv,,,,existing,
1995-01-06,SPY,46.09375,46.25,45.90625,46.046875,26.665779,448400,existing_local_ohlcv,,,,existing,
1995-01-09,SPY,46.03125,46.09375,46.0,46.09375,26.692923,36800,existing_local_ohlcv,,,,existing,
1995-01-10,SPY,46.203125,46.390625,46.140625,46.140625,26.720062,229800,existing_local_ohlcv,,,,existing,
1995-01-11,SPY,46.296875,46.296875,45.8125,46.171875,26.738159,222400,existing_local_ohlcv,,,,existing,
1995-01-12,SPY,46.125,46.21875,46.03125,46.1875,26.74721,40300,existing_local_ohlcv,,,,existing,
1995-01-13,SPY,46.4375,46.734375,46.375,46.734375,27.06389,170600,existing_local_ohlcv,,,,existing,
1995-01-16,SPY,46.71875,47.03125,46.71875,47.015625,27.226778,105100,existing_local_ohlcv,,,,existing,
1995-01-17,SPY,46.921875,47.0625,46.859375,47.03125,27.235823,89500,existing_local_ohlcv,,,,existing,
1995-01-18,SPY,47.0,47.078125,46.875,46.984375,27.208698,84500,existing_local_ohlcv,,,,existing,
1995-01-19,SPY,46.828125,46.875,46.6875,46.71875,27.054867,139100,existing_local_ohlcv,,,,existing,
1995-01-20,SPY,46.65625,46.671875,46.453125,46.546875,26.955324,78700,existing_local_ohlcv,,,,existing,
1995-01-23,SPY,46.234375,46.6875,46.203125,46.6875,27.036768,53700,existing_local_ohlcv,,,,existing,
1995-01-24,SPY,46.671875,46.75,46.640625,46.75,27.07296,32400,existing_local_ohlcv,,,,existing,
1995-01-25,SPY,46.515625,47.046875,46.515625,46.875,27.145348,15700,existing_local_ohlcv,,,,existing,
1995-01-26,SPY,46.84375,46.984375,46.75,46.921875,27.172482,9800,existing_local_ohlcv,,,,existing,
