date,symbol,open,high,low,close,adjusted_close,volume,source,updated_at,fetched_at,adjusted_status,data_quality_status,data_quality_flag
2007-05-30,BIL,91.580002,91.599998,91.5,91.599998,70.794579,1550,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-05-31,BIL,91.580002,91.599998,91.580002,91.599998,70.794579,11200,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-01,BIL,91.620003,91.620003,91.620003,91.620003,70.810043,1450,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-04,BIL,91.639999,91.639999,91.639999,91.639999,70.825508,1050,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-05,BIL,91.660004,91.68,91.639999,91.639999,70.825508,3750,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-06,BIL,91.639999,91.68,91.639999,91.68,70.85643,9750,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-07,BIL,91.639999,91.660004,91.639999,91.660004,70.840935,12150,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-08,BIL,91.68,91.68,91.620003,91.68,70.85643,7850,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-11,BIL,91.68,91.720001,91.68,91.720001,70.887314,2400,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-12,BIL,91.720001,91.720001,91.639999,91.639999,70.825508,3900,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-13,BIL,91.639999,91.720001,91.639999,91.720001,70.887314,3750,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-14,BIL,91.760002,91.760002,91.760002,91.760002,70.91819,13400,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-15,BIL,91.800003,91.839996,91.739998,91.839996,70.980057,1050,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-18,BIL,91.82,91.879997,91.800003,91.860001,70.995522,28000,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-19,BIL,91.860001,91.860001,91.860001,91.860001,70.995522,850,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-20,BIL,91.839996,91.900002,91.839996,91.879997,71.010971,3100,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-21,BIL,91.860001,91.900002,91.860001,91.879997,71.010971,850,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
2007-06-22,BIL,91.900002,91.959999,91.900002,91.959999,71.072777,2200,yahoo_chart_api_a55_market_data_refresh,2026-06-13T17:44:58.230710+00:00,2026-06-13T17:44:58.230710+00:00,adjusted_close_from_yahoo_chart,not_validated,
